,Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Comments 1x ),Description_Translated,Description_Sentiment,Image_Text_Translated,Image_Text_Sentiment
0,Gilson da Autoescola,gilsondaautoescola,,2023-04-09 19:55:26 EDT,2023-04-09,19:55:26,Album,39,37,2,0,False,https://www.instagram.com/p/Cq1agtcr9E4/,https://www.instagram.com/p/Cq1agtcr9E4/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/340173921_251662630541394_2531749001826661167_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=EuHmYWLKYG4AX8ntEWA&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDpV8L5b7FtmN6qXDqs-y1MAoEZCnQkl7riMWC4X8bueQ&oe=649546C1,,"AVIVAMENTO PESSOAL, AUTORIDADE SUBMISSA. 

Visitei a convite do meu irmão @casvamosemfrente o Seminário para líderes, esta edição aconteceu no Hotel Abba, centro de Betim, na Sexta-Feira da Paixão.

Que tempo precioso ao lado dos líderes evangélicos de Betim, no ensejo recebi oração do pastor Renato Santos, com concordância dos demais. 

Quero agradecer á cada um pelo carinho e me colocar à disposição de todos!

Deus abençoe!

.

.

.

#seminário #avivamento #autoridadeespiritual #bispocarlosalexandre #vereadorgilsondaautoescola #bancadaevangelica",,,,-1.44,"Personal revival, submissive authority.

I visited at the invitation of my brother @casvamosmantem the Seminar for Leaders, this edition took place at Hotel Abba, downtown Betim, on Passion Friday.

What a precious time alongside the evangelical leaders of Betim, in the opportunity I received prayer from Pastor Renato Santos, with the agreement of the others.

I want to thank each one for their affection and make me available to everyone!

God blesses!

.

.

.

#Seminar #Avivation #AutaritySpiritual #bispocarlosalexandre #vereadorgilSondaAutoScola #BancaEvangelica",0.9725,Nan,0.0
1,Jose Vasconcelos Viana,josevasconcelosviana,25972.0,2023-04-09 10:38:34 EDT,2023-04-09,10:38:34,Photo,43,43,0,0,False,https://www.instagram.com/p/Cq0ayGwsaz_/,https://www.instagram.com/p/Cq0ayGwsaz_/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/340179510_1357499451647674_8355807368013629960_n.webp?stp=dst-jpg&_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Sq7SYf_wQQ0AX_q7mgs&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAZgcXiFgxQx4gQzX3-bWV2ODQS778ANI8OR7nQKARvSw&oe=6496127C,,"BOA PÁSCOA!
.
.
.
.
.
.
.
.
.

.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes #oladraonaosobearampa #quartéis #intervencaomilitar #bolsonaropreso #Brasil #bolsonarojoias #bolsonatovoltou #omitovoltou",José Vasconcelos Viana @v... •2min Desejo a todos uma Páscoa repleta de bênçãos e alegria. Que esta data nos mostre que precisamos renascer a cada dia. #Pascoa က,,,-5.19,"GOOD EASTER!
.
.
.
.
.
.
.
.
.

.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#greesCaminhoneiros #Alladossantos #Foraxandão #Lula #Bolsonaro #copadomundo #haddad #PaulogeDes #oladroosobeampapa #Quartels #Intervencaomilitar #Bolsonaropreso #Brasil #Bolsonarojoias #Bolsonatovolta",0.6027,José Vasconcelos Viana @V ... • 2min I wish everyone a Passover full of blessings and joy.May this date show us that we need to be reborn every day.#Pascoa က,0.7351
2,Gilson da Autoescola,gilsondaautoescola,,2023-04-09 09:45:34 EDT,2023-04-09,09:45:34,Photo,62,50,12,0,False,https://www.instagram.com/p/Cq0Ut1iOB9x/,https://www.instagram.com/p/Cq0Ut1iOB9x/,https://scontent-sea1-1.cdninstagram.com/v/t39.30808-6/340271658_786855569531896_7352761631132108054_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=H4hhwh3f48wAX9Uwvt5&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBct74hyUehdFh1NBRjl08TvQyVyhxW0S4z23Ifb9uESQ&oe=6493EC21,,"PÁSCOA

A primeira Páscoa, a 3500 anos atrás, aconteceu na noite anterior à saída do povo de Israel do Egito. Sob a orientação de Deus, Moisés instruiu aos hebreus que cada família escolhesse um cordeiro, o qual seria assado e servido como alimento, juntamente com pão ázimo (sem fermento) e ervas amargas. 

O sangue do cordeiro seria aspergido nos portais das casas, trazendo o livramento do anjo da morte aos seus primogênitos. No dia seguinte, o povo foi milagrosamente salvo das mãos de Faraó e da escravidão no Egito.

A partir daí, a Páscoa seria anualmente comemorada, relembrando essa libertação.

Mas algo ainda maior estaria por vir…

Séculos depois, o verdadeiro Cordeiro de Deus, Jesus Cristo, veio ao mundo para entregar-se em sacrifício de cruz, derramando Seu precioso sangue em favor de todo aquele que crê; para remissão dos pecados…

Jesus foi moído pelas nossas transgressões, e Sua ressurreição, naquele Domingo, foi a evidência de que Sua obra não foi em vão: hoje, a multidão dos salvos celebra o perdão e a libertação do cativeiro do pecado. 

E o sangue derramado ainda convida aos cansados e sobrecarregados:
“Vinde a mim, e Eu vos aliviarei.”

.

.

.

#páscoa #vereadorgilsondaautoescola #tempoderefletirmos","PASCOA D Desejamos uma páscoa repleta de amor, paz paze e união para você e sua família. BOSS HUGOBOSS BOSS Gilson VEREADOR DA AUTOESCOLA",,,1.11,"EASTER

The first Easter, 3500 years ago, happened the night before the departure of the people of Israel from Egypt.Under God's guidance, Moses instructed the Hebrews that each family chose a lamb, which would be baked and served as food, along with unleavened bread (no yeast) and bitter herbs.

The blood of the lamb would be sprinkled in the portals of the houses, bringing the release of the angel of death to his firstborn.The next day, the people were miraculously saved from the hands of Pharaoh and slavery in Egypt.

From there, Easter would be annually celebrated, recalling this liberation.

But something even bigger would be to come…

Centuries later, the true lamb of God, Jesus Christ, came into the world to surrender in the sacrifice of the cross, pouring out his precious blood for all who believes;For remission of sins…

Jesus was ground for our transgressions, and his resurrection on Sunday was the evidence that his work was not in vain: today the multitude of the saved celebrates the forgiveness and liberation of the captivity of sin.

And the spilled blood still invites the tired and overloaded:
""Come to me, and I will relieve you.""

.

.

.

#Easter #VereadorgilSondaAutoSchoa #TempodereFletm",0.9647,"PASCOA D We wish Easter full of love, peace paze and unity for you and your family.Boss Hugoboss Boss Gilson Autoescola",0.886
3,André da Maria Gorda,andremariagorda,360344.0,2023-04-09 09:31:59 EDT,2023-04-09,09:31:59,Photo,53,53,0,0,False,https://www.instagram.com/p/Cq0TKdprBO2/,https://www.instagram.com/p/Cq0TKdprBO2/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/340473932_620157612870349_4810101049583387875_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=nNgN2ofBNOIAX8ia7FE&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAEnd6LIUZXbx7nzkJPotp0ZOdcNp6RlNGm94A6TatI7Q&oe=6495A2B6,,Feliz Páscoa a todos amigos e clientes do coração 💓,VEMSIMBORA A PÁSCOA É UM MOMENTO DE RENOVAÇÃO E ESPERANÇA QUE ESSA DATA NOS INSPIRE A ACREDITAR EM UM MUNDO MAIS JUSTO E AMOROSO FELIZ PÁSCOA! Maria Gorda DELIVERY 3436-2006 99163-2323,,,-1.19,Happy Easter to all friends and heart customers 💓,0.967,Easter comes is a moment of renewal and hope that this date inspires us to believe in a more just and loving world Happy Easter!Maria Gorda Delivery 3436-2006 99163-2323,0.932
4,SARGENTO RODRIGUES,sargentorodriguesoficial,32458.0,2023-04-09 08:00:23 EDT,2023-04-09,08:00:23,Photo,164,154,10,0,False,https://www.instagram.com/p/Cq0IrdXNpKF/,https://www.instagram.com/p/Cq0IrdXNpKF/,https://scontent-fco2-1.cdninstagram.com/v/t39.30808-6/340325282_593796582470920_2020686024097748056_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ur_5prvJ78MAX9Ypl4F&_nc_oc=AQkhoXacAhAOKFvdUNoLzlTZ90Xlq8DBq_LN-qlwFJlycU7m0OW-TulsTGntgFS_Gd4&_nc_ht=scontent-fco2-1.cdninstagram.com&oh=00_AfAwerpl7hFp8kJQEuG2giolFxxl9ho2vo8qJgonbK8BPA&oe=646C4951,,"Desejo a todos uma Feliz Páscoa, repleta de paz e muita saúde!","Que nesta páscoa, Jesus renasça em nossos corações, renovando neles o amor, a esperança e que a alegria tome conta da sua vida hoje e todos OS dias que estão por vir. Feliz Páscoa 十 + SARGENTO RODRIGUES ESTADUAL DEPUTADO ODRIGUES",,,-2.61,"I wish you all a happy Easter, full of peace and much health!",0.8805,"That in this Easter, Jesus is reborn in our hearts, renewing in them love, hope, and let joy take account of his life today and every day to come.Happy Easter 十 + Sergeant Rodrigues State Deputy Odrigues",0.9451
5,Gilson da Autoescola,gilsondaautoescola,,2023-04-08 20:34:16 EDT,2023-04-08,20:34:16,Photo,92,86,6,0,False,https://www.instagram.com/p/Cqy6KQFraBU/,https://www.instagram.com/p/Cqy6KQFraBU/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/340663004_6244561385594393_4780041503261608049_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=jAUUtL0e7zUAX_yfA3b&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBKgDlgw7hMOjUYLHxvUjNazK3NFtY0SNtaBYuGDt_aLA&oe=6493A7F5,,"PROJETO SOCIAL EDIFICAR 

Senhor, entrego a Ti todos os meus sonhos e projetos. Que eles não sejam apenas da minha vontade, mas de vossa também. Amém!

.

.

.

#projetosocial #edificar #apoio #vemaí #vereadoratuante #vereadorgilsondaautoescola",,,,1.64,"Social project edify

Lord, I give you all my dreams and projects.May they not only be my will, but of yours too.Amen!

.

.

.

#projectocial #edifying #apoio #vemaí #vereidorador",0.2828,Nan,0.0
6,SARGENTO RODRIGUES,sargentorodriguesoficial,32445.0,2023-04-08 08:51:10 EDT,2023-04-08,08:51:10,Photo,493,464,29,0,False,https://www.instagram.com/p/CqxpsrHLNC2/,https://www.instagram.com/p/CqxpsrHLNC2/,https://scontent-fco2-1.cdninstagram.com/v/t51.29350-15/339943524_1635179470278601_1493462702265273112_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=81glYSia3YwAX-x3iqf&_nc_ht=scontent-fco2-1.cdninstagram.com&oh=00_AfAqdAcX8J3ZNovXkriX2F-hrBwB-TNslPlLQ0zgoi3Kxw&oe=646D6E8C,,"Destinei, nos últimos dois anos, por meio de emenda parlamentar, nove viaturas de resgaste para o Corpo de Bombeiros Militar. As unidades de resgate são veículos tipo ambulâncias, destinadas ao atendimento de vítimas de acidentes traumáticos ou casos clínicos, com equipamentos que permitem a realização de procedimentos de suporte básico de vida, de forma a estabilizar, mobilizar e transportar a vítima, adequadamente, ao centro médico mais próximo. Elas foram destinadas aos municípios de João Pinheiro, Diamantina, Montes Claros, Manhuaçu, Teófilo Otoni, Uberaba, Uberlândia, Governador Valadares e Juiz de Fora. As viaturas atendem a toda a população desses municípios e regiões, levando mais tranquilidade e qualidade ao socorro daqueles que precisam, em especial aos mais humildes, que dependem do poder público. 

Neste ano, as viaturas já foram utilizadas em 450 ocorrências, atendendo 349 vítimas e combatendo um incêndio. Renovo meu compromisso de continuar destinando minhas emendas para melhorias na segurança pública e, consequentemente, levar mais tranquilidade ao povo mineiro!🚒🔺",VIATURAS BOMBEIROS CONo MALTH MINAS GERAIS 9 VIATURAS 9 SALVAMENTO 등요 SOCORRO SARGENTO RODRIGUES RESGATE OUTRAS IMPACTO SOCIAL VÍTIMAS ATENDIDAS 349 ANIMAIS SALVOS 450 OCORRÊNCIAS ATENDIDAS 0 INCÊNDIOS COMBATIDOS 1 AÇÕESDE PRESERVAÇÃO AMBIENTAL 0,,,1.15,"In the last two years, I have intended through parliamentary amendment, nine rescue vehicles for the Military Fire Department.Rescue units are ambulance vehicles, intended to meet victims of traumatic accidents or clinical cases, with equipment that allows the basic life support procedures to stabilize, mobilize and transport the victim properly to the Centernearest doctor.They were destined to the municipalities of João Pinheiro, Diamantina, Montes Claros, Manhuaçu, Teófilo Otoni, Uberaba, Uberlândia, Governador Valadares and Juiz de Fora.The vehicles serve the entire population of these municipalities and regions, bringing more tranquility and quality to the help of those who need, especially to the humblest, who depend on the public power.

This year, the vehicles have already been used at 450 occurrences, serving 349 victims and fighting a fire.I renew my commitment to continue to allocate my amendments for improvements in public safety and, consequently, bring more tranquility to the Minas Gerais people!",0.7413,Cono Malth Minas Gerais Fire Vehicles 9 Vehicles 9 Rescue 등 요 Socorro Sergeant Rodrigues Rescue Other Social Impact Victims Assisted 349 Saved Animals 450 Occurrences Meeting Fiped Fires 1 Actions of Environmental Preservation 0,0.6908
7,Gilson da Autoescola,gilsondaautoescola,,2023-04-07 20:47:42 EDT,2023-04-07,20:47:42,Photo,63,62,1,0,False,https://www.instagram.com/p/CqwW5vytlAA/,https://www.instagram.com/p/CqwW5vytlAA/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/339705396_897264181493521_4606529003470004279_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=gBhtjifsTEEAX97xnaF&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCjSQQNDAPbjGd7HErYsaHn09u7skMezFBxGNO7bX0wXA&oe=6495391D,,"""Porque, se tomamos parte nos sofrimentos de Cristo, também tomaremos parte na sua glória."" 

Romanos 8:7

.

.

.

#sextafeirasanta #fé #reflexão  #ELEvive #reina 
#vereadorgilsondaautoescola",,,,1.12,"""For if we take part in the sufferings of Christ, we will also take part in His glory.""

Romans 8: 7

.

.

.

#SetAfirantasanta #Faith #Reflection #Elevive #reina
#vereadorgilSondaAutoescola",0.743,Nan,0.0
8,WESLEY ROS,wesleyros,289326.0,2023-04-07 14:35:04 EDT,2023-04-07,14:35:04,Photo,"6,347",6089,258,0,False,https://www.instagram.com/p/CqvsQk5JKP9/,https://www.instagram.com/p/CqvsQk5JKP9/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/340321563_2627618174068143_5096019308582064800_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=F2p_Y8itY-gAX-WVQRE&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfC1U2CCldRADSSd0NtVkdSaoe01r4DrNxXPnlOcueNZRQ&oe=649362DD,,"É DOIDO MAS NÃO É BURRO, NÉH??🤷🏾‍♂️
Sem mais…","Tweet Wesley Ros @wesleyros 6 min Ele teve um SURTO? distúrbio mental?. ué, porque não pegou a machadinha e foi atacar uma academia de Jiu-jítsu? Ou uma base militar?? #prisaoperpetuaJÁ",,,1.05,"It's crazy but not stupid, right ?? 🤷🏾‍♂️
No further…",0.1341,"Twitter wesley rose @wesleyros 6 minMental disorder?.Hey, why didn't you get the ax and went to attack a jiu-jitsu gym?Or a military base ??#PrisaoperPetuajá",-0.6199
9,Robert Zorzato,robertzorzato,1729.0,2023-04-07 11:16:10 EDT,2023-04-07,11:16:10,Photo,46,46,0,0,False,https://www.instagram.com/p/CqvVfufri2l/,https://www.instagram.com/p/CqvVfufri2l/,https://scontent-fco2-1.cdninstagram.com/v/t51.29350-15/340287365_1456727124861701_834260363108718438_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=4vajO1xsF9wAX9MWtqs&_nc_ht=scontent-fco2-1.cdninstagram.com&oh=00_AfDKhG-bKUKK2PFrB74viF0ZzrAaX-WNlyYVnWFLbfCzog&oe=647527A0,,Quem explica?,"SJP Portal SJP Verdade Publicado por Robert Zorzato Agora mesmo Nenhum doente mental pega uma arma entra na favela e tenta matar um traficante, sabe por que? Porquê lá tem ARMAS, simples assim!",,,-1.04,Who explains?,0.0,"SJP Portal SJP Truth Posted by Robert Zorzato right now no mental patient takes a gun enters the favela and tries to kill a drug dealer, you know why?Why there are weapons, simple as that!",-0.8805
