Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Comments 1x ),Description_Translated,Description_Sentiment,Image_Text_Translated,Image_Text_Sentiment
Gilson da Autoescola,gilsondaautoescola,,2023-01-08 20:47:06 EST,2023-01-08,20:47:06,Photo,364,335,29,0,False,https://www.instagram.com/p/CnLS88pNwUl/,https://www.instagram.com/p/CnLS88pNwUl/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324062060_901489240868635_698403590411194946_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=XjsbpOx5B10AX9JBe0M&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCL8Fms2lWC2eNQxfxr2rNsfR941m8ST_IHrInkin2CDw&oe=64947B46,,"NOTA DE ESCLARECIMENTO 

Quero externar minha indignação com os atos de violência e depredação ocorridos em Brasília no dia de hoje. 

Saí da minha casa na companhia dos meus dois filhos na expectativa de participar de um ato pacífico e democratico. Mas nada disso aconteceu. 

Não aprovo e nem participo de nenhuma atitude contra a democracia. 

O protesto é legitimo e democrático,  quebradeira e violência não. 

Viva a democracia! Viva a liberdade! Viva o Brasil!

.

.

.",,,,6.5,"Clarification note

I want to express my indignation with the acts of violence and depredation that occurred in Brasilia today.

I left my house in the company of my two children expecting to participate in a peaceful and democratic act.But none of this happened.

I do not approve or participate in any attitude against democracy.

The protest is legitimate and democratic, breakage and violence not.

Long live democracy!Long live freedom!Long live Brazil!

.

.

.",-0.8996,Nan,0.0
Jose Vasconcelos Viana,josevasconcelosviana,,2023-01-08 19:44:12 EST,2023-01-08,19:44:12,Photo,859,101,758,0,False,https://www.instagram.com/p/CnLLwQEM5Eq/,https://www.instagram.com/p/CnLLwQEM5Eq/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324381334_3490607301218296_1086140029248772793_n.webp?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=PhCqdKe_GkoAX96qizV&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAoA7Up5u-mUADMaBZIWIT4kfn6SR-ztgMXDQe4I_fDCw&oe=64953610,,"PALAVRA DE BOLSONARO!
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.#urnaseletronicaséfraude #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes #feliznatal #Natal #oladraonaosobearampa #artigo142 #quartéis #intervencaofederal #intervencaomilitar #bolsonaropreso","Jair M. Bolsonaro 2 @jairbolsonaro Manifestações pacíficas, na forma da lei, fazem parte da democracia. Contudo, depredações e invasões de prédios públicos como ocorridos no dia de hoje, assim como os praticados pela esquerda em 2013 e 2017, fogem à regra. 22 Jair M. Bolsonaro @jairbolsonaro -Ao longo do meu mandato, sempre estive dentro das quatro linhas da Constituição espeitando e defendendo as leis, a democracia, a transparência a nossa sagrada liberdade. 08/01/2023 Jair M. Bolsonaro @jairbolsonaro -No mais, repudio as acusações, sem provas, a mim atribuídas por parte do atual chefe do executivo do Brasil.",,,3.36,"Bolsonaro's word!
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
. #URNASELETRONICSÉFRAUDE #Manifestations #GrevedCaminhoes #Alladossantos #Foraxandão #Lula #Bolsonaro #copadomundo #haddad #PaulogeDes #Felizenatal #NATAL #OLADRAONAOSEPAPAPA #Article142 #Quartels #IntervenCaomilitar #",0.0,"Jair M. Bolsonaro 2 @jairbolsonaro peaceful demonstrations, in the form of the law, are part of democracy.However, depredations and invasions of public buildings as occurred today, as well as those practiced by the left in 2013 and 2017, escape the rule.22 Jair M. Bolsonaro @jairbolsonaro -The long term of my mandate, I've always been within the four lines of the Constitution, and defending the laws, democracy, transparency to our sacred freedom.01/08/2023 Jair M. Bolsonaro @jairbolsonaro -In more, repudiate the accusations, without evidence, attributed to me by the current head of the executive of Brazil.",0.5325
Sergio Brucutu,sergio_brucutu,,2023-01-08 17:08:53 EST,2023-01-08,17:08:53,Album,"1,073",285,788,12675,False,https://www.instagram.com/p/CnK5-xOKkg_/,https://www.instagram.com/p/CnK5-xOKkg_/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324069841_6353379744695391_505959583530150445_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=rtEqd2ryKGsAX-BqPsz&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfD2a4uGUlK-LrhFWUch8ZNFcF50V_Wa1dmTJflXgxlJ6Q&oe=64952556,,"Invadir ou depredar é dar tiro no pé. É a gente que paga depois. Estabelecer-se e ocupar a esplanada é o recado de que precisamos de algum poder moderador, pois estamos em Estado de Exceção #-08/01/23 - 17:30

#impeachmentalexandredemoraes 
@nbcnews 
@cbstv
@cbsnews
@abc7ny
@foxtv
@nytimes
@bbclondon
#brazilwasstolen
#brazilianSpring

@nbcnews 
@cbstv
@cbsnews
@abc7ny
@foxtv
@nytimes
@bbclondon
#brazilwasstolen
#",,,,6.1,"To invade or depredate is to shoot the foot.It is people who pay later.Establishing and occupying the Esplanade is the message that we need some moderating power, because we are in a state of exception #-08/01/23-17:30

#ImpeachmentalexandreDeMoraes
@nbcnews
@cbstv
@cbsnews
@abc7ny
@foxtv
@nytimes
@bbclondon
#brazilwastolen
#brazilianspring

@nbcnews
@cbstv
@cbsnews
@abc7ny
@foxtv
@nytimes
@bbclondon
#brazilwastolen
#",-0.4215,Nan,0.0
Firmino.Daywydy,firmino.daywydy,,2023-01-08 16:41:11 EST,2023-01-08,16:41:11,Video,60,56,4,513,False,https://www.instagram.com/tv/CnK2ylapUOc/,https://www.instagram.com/tv/CnK2ylapUOc/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323918516_491532486439697_4402165503017032680_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=8BgIjAkV59kAX9Ba3cE&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAHhmX6BEsDKItkIwvXH1bIARV2tXQBiBtT0g9T7TugRw&oe=6497FF14,,"Marchando rumo a espadanada!

Patriota, venha defender o Brasil. Você foi convocado! 

NÃO LEVEM: Folgos, Pet, álcool. Lembre-se na Guerra, levamos APENAS nossa Pátria no peito! 

Siga @exercito_oficial @marinhaoficial @fab_oficial 
O exército brasileiro conta conosco, juntos chegaremos a 20 milhões.

Siga @rtppt @foxnews @revistaoeste @jovempannews

Gente, ao postar os vídeos informar
- Data (DD/MM/AAAA)
- Local (onde)?

#patria #liberdade #oportunidade #força #oimparcial #jornalismodigital #fatosinacreditaveiss #deusnocomando #vitoria #deusnocontrole #fato #união #coragem #patriota #tradição #palavradedeus #palavra #justiça #imparcial #imparcialidade",,,,0.0,"Marching towards the swordsman!

Patriot, come defend Brazil.You have been summoned!

Do not take: Folding, PET, alcohol.Remember in war, we only take our homeland in the chest!

Follow @exercito_oficial @marinhaoficial @fab_oficial
The Brazilian Army tells us, together we will reach 20 million.

Follow @rtppt @foxnews @revistaoeste @jovempanNews

Guys, when posting the videos inform
- Date (dd/mm/aaaa)
- Place (where)?

#Patria #Caddle #Opportunity #Strength #oimparcial #jornalismodigital #fatosinacreditables #deusnocomando #vitoria #deusnocontrole #fact #union #corage #patiot #tradition #palavradeus #palavra #justice #imparcial #imparciality",0.7562,Nan,0.0
Jose Vasconcelos Viana,josevasconcelosviana,,2023-01-08 16:07:38 EST,2023-01-08,16:07:38,Photo,472,200,272,0,False,https://www.instagram.com/p/CnKy-HspclD/,https://www.instagram.com/p/CnKy-HspclD/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323924946_1823340918039206_1306632149627442464_n.webp?stp=dst-jpg&_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=DhyYsKxzgT8AX9iQ_fl&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDZ6xxibMJUbZU9NLUOaFKBImqMl0qtj82V-H6RsJzAoQ&oe=6494C375,,"URGENTE! QUE DEUS DEFENDA NOSSO BRASIL!
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
 #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes #feliznatal #Natal #oladraonaosobearampa #artigo142 #quartéis #intervencaofederal #intervencaomilitar #bolsonaropreso",POLÍTICA MANIFESTAÇÕES LULA DECRETA INTERVENÇÃO FEDERAL PARA CONTER ATOS EM BRASÍLIA PORTAL JVV NOTICIAS SIGA @JVVNEWS NAS REDES SOCIAIS. ACESSE WWW.JVVNEWS.COM.BR,,,1.84,"URGENT!May God defend our Brazil!
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
 #Dens #GreedsCaminhoners #Alladossantos #Foraxandão #Lula #Bolsonaro #copadomundo #haddad #Pauloges #FelizNatal #Natal #oladrooSobeampa #Article142 #Quartels #intervenofaderal",0.3987,Policy Manifestations Lula decrees federal intervention to contain acts in Brasilia Portal JVV Noticias Siga @jvvNews on social networks.Visit www.jvvnews.com.br,0.0
Mathews Luķķas Phellype,lukkas_phellype,,2023-01-08 14:59:08 EST,2023-01-08,14:59:08,Photo,704,42,662,0,False,https://www.instagram.com/p/CnKrIahvwQL/,https://www.instagram.com/p/CnKrIahvwQL/,,,"Á Caminho do Senado Federal!

""TODO PODER EMANA DO POVO""

#brasil #brasil🇧🇷 #distritofederal #federaldistrict #janeiro #2023",,,,46.93,"On the way to the Federal Senate!

""Every power emanates from the people""

#Brasil #Brazil🇧🇷 #Districtofederal #FederalDistrict #Janeiro #2023",0.0,Nan,0.0
Mathews Luķķas Phellype,lukkas_phellype,,2023-01-08 14:11:50 EST,2023-01-08,14:11:50,Photo,100,15,85,0,False,https://www.instagram.com/p/CnKlt7DPBah/,https://www.instagram.com/p/CnKlt7DPBah/,,,#lulaladrao,FORA LULA!,,,6.67,#lulalandrao,0.0,OUT LULA!,0.0
Núbia Modista,nubiamodista,,2023-01-08 13:57:43 EST,2023-01-08,13:57:43,Photo,58,10,48,0,False,https://www.instagram.com/p/CnKkGkzP5kz/,https://www.instagram.com/p/CnKkGkzP5kz/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323890916_1111477406165519_4345993939610256182_n.webp?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=1897YtOCTAUAX8Tt0QZ&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBGxN8DBfx7FBknhyuWO3w8zQqZS1bo9ibGxHC1j_C1QA&oe=64962B36,,O Brasil é nosso,,,,-1.79,Brazil is ours,0.0,Nan,0.0
Jose Vasconcelos Viana,josevasconcelosviana,,2023-01-08 08:52:10 EST,2023-01-08,08:52:10,Photo,171,140,31,0,False,https://www.instagram.com/p/CnKBIqkO2yy/,https://www.instagram.com/p/CnKBIqkO2yy/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324266763_166762826082399_5775237479358905933_n.webp?stp=dst-jpg&_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=rRyIn5iZhz8AX8vB-Wt&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBYz60cyX8DHS2is9h3qXeVf_75Wy5MxaPhcCgPRgOAHA&oe=64950D6A,,"PELO BRASIL! 🇧🇷
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#alexandredemoraes #Moraes #Alexandre #urnaseletronicaséfraude #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes #feliznatal #Natal #oladraonaosobearampa #artigo142 #quartéis #intervencaofederal #intervencaomilitar #bolsonaropreso",DEUS PÁTRIA FAMÍLIA,,,-1.51,"FOR BRAZIL!🇧🇷
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#AlexandreDeMoraes #moraes #Alexandre #UrnaSelectronicséFraude #Manifestations #GrevedCaminhoes #Allates #Foraxandão #Lula #Bolsonaro #copadomundo #haddad #Pauloges #Felizenatal #Natal #OladroSOBEAMPAPA ropper",0.0,God Family Fatherland,0.2732
Mathews Luķķas Phellype,lukkas_phellype,,2023-01-07 22:19:19 EST,2023-01-07,22:19:19,Photo,"2,420",74,2346,0,False,https://www.instagram.com/p/CnI4tkRM4EE/,https://www.instagram.com/p/CnI4tkRM4EE/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323947278_905506733804863_1593830232323399887_n.webp?stp=dst-jpg&_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Fw-AKGlksRwAX9PYnqk&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBOYS5Pll_VJvCXHqb6q8bLdJWj6Z_2HI1gEnKXUW6K-Q&oe=6496163D,,#partiu #brasil #brasilia,,,,63.68,#partiu #brasil #brasilia,0.0,Nan,0.0
