,Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Comments 1x ),Description_Translated,Description_Sentiment,Image_Text_Translated,Image_Text_Sentiment
0,Adrilles Jorge,adrillesjorge,864463.0,2023-04-09 19:20:06 EDT,2023-04-09,19:20:06,Video,"16,754",16354,400,73009,False,https://www.instagram.com/tv/Cq1WbG-NZV2/,https://www.instagram.com/tv/Cq1WbG-NZV2/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/340823464_203093685779730_5932382094367230777_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Nj-UnysdCN8AX9nZuoC&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCXpp9YLJB94XbI_ER279s-18ULFD2qasEIDCqEALuh8g&oe=6494A648,,"É amanhã: o Show da Manhã começa, das 10h às 11h30.

Chega de programa de esquerdista e isentão pela manhã! 

Se inscrevam no YouTube do Fio Diário e ativem as notificações.",,,,1.7,"It's tomorrow: the morning show starts from 10am to 11:30 am.

No more leftist program and exempt in the morning!

Subscribe to youtube from the daily wire and activate the notifications.",-0.2714,Nan,0.0
1,Eduardo Bolsonaro🇧🇷,bolsonarosp,5126978.0,2023-04-09 19:01:59 EDT,2023-04-09,19:01:59,Video,"44,015",41399,2616,171719,False,https://www.instagram.com/tv/Cq1UXlpgtVG/,https://www.instagram.com/tv/Cq1UXlpgtVG/,https://scontent-fco2-1.cdninstagram.com/v/t51.29350-15/340178609_205673005506428_2928202342845377335_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=fevtYp5UCigAX-d99bj&_nc_ht=scontent-fco2-1.cdninstagram.com&oh=00_AfA4napUJSSrY17bjeRfxfYWfd21DzPga-hnASmVUX7tpQ&oe=64691B10,,Live com minha senhora @heloisa.bolsonaro : bebê a caminho!,,,,-1.01,Live with my lady @heliisa.bolsonaro: baby on the way!,0.0,Nan,0.0
2,Adrilles Jorge,adrillesjorge,864463.0,2023-04-09 17:06:07 EDT,2023-04-09,17:06:07,Photo,"13,645",13457,188,0,False,https://www.instagram.com/p/Cq1HIreAmGn/,https://www.instagram.com/p/Cq1HIreAmGn/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/340035153_907655730506833_1005263462009801384_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=4sj3NC3M5MMAX_FYEZL&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDuE41xyPyxjz4FbI-KDYUPaiiYsMcTXja6pK7dzDS8kQ&oe=648EF368,,"Bem se sabe que a prostituição é a profissão mais antiga da história . A de político talvez seja a segunda . A moça que cede e vende seus serviços sócio afetivos ao preço do desejo humano de poder sexual se parece em alguma medida a da pessoa que vende sonhos lúbricos  de melhoria de vida e ascensão social do povo que escolhe seus líderes . Tudo é sexo , já dizia freud . E sexo , em nível físico ou social pressupõe dominação , poder , sedução , opressão e engodo. 

A ópera bufa dos poderes opressivos que mesclam prostituicao e política afetam a realidade brasileira e americana com estranhas semelhanças. Dois políticos parecedíssimos conquistaram o poder nos dois países , rompendo o hímen da barreira do politicamente correto , uma espécie de prostituicao da linguagem à hipocrisia da virtude encenada . Por este pecado , pagaram o preço . O establishment moralista do politicamente correto os crucificou e derrotou - e agora os quer eliminar da vida pública . 
(…) 

Texto completo nos stories e na bio","REVISTA OESTE POLÍTICA Adrilles: 'Trump Bolsonaro, a prostituição da verdade' Alguma coincidência com o Brasil será meramente casual Adrilles Jorge 09 ABR 2023 08:00",,,-1.96,"It is well known that prostitution is the oldest profession in history.That of politician is perhaps the second.The girl who gives in and sells her socio -affective services to the price of human desire for sexual power is to some extent that of the person who sells lifestyle and social ascension of the people who choose their leaders.Everything is sex, already said Freud.And sex, at the physical or social level presupposes domination, power, seduction, oppression and decoy.

The buffa opera of the oppressive powers that mix prostitution and politics affect the Brazilian and American reality with strange similarities.Two very well -like politicians have conquered power in both countries, breaking the hymen of the politically correct barrier, a kind of prostitution of language to the hypocrisy of the staged virtue.For this sin, they paid the price.The moralistic stablishment of the politically correct has crucified them and defeated - and now wants to eliminate them from public life.
(…)

Full text in stories and bio",-0.5542,"West Policy Magazine Adrilles: 'Trump Bolsonaro, the prostitution of the truth' some coincidence with Brazil will be merely casual Adrilles Jorge 09 Apr 2023 08:00",0.4767
3,Bárbara Destefani | Te Atualizei,barbarapessoaloficial,184561.0,2023-04-09 17:01:16 EDT,2023-04-09,17:01:16,Video,"6,630",6567,63,23819,False,https://www.instagram.com/tv/Cq1GjjovWfH/,https://www.instagram.com/tv/Cq1GjjovWfH/,https://scontent-fco2-1.cdninstagram.com/v/t51.36329-15/340474799_9273760235997397_4815721010916844762_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=h4uEsDSpoM8AX_7Lquu&_nc_ht=scontent-fco2-1.cdninstagram.com&oh=00_AfAhv-SNB9M79IgJ_3G9AlTHsTAgDSW8qq2tnYV-YnZOJQ&oe=645DB1AF,,Dilmo investirá pesadamente contra CPMI do 8 de Janeiro,,,,1.14,Dilmo will invest heavily against CPMI of January 8,0.0,Nan,0.0
4,Karina Bacchi,karinabacchi,9341309.0,2023-04-09 15:32:53 EDT,2023-04-09,15:32:53,Album,"23,905",23686,219,0,False,https://www.instagram.com/p/Cq08d0evy3V/,https://www.instagram.com/p/Cq08d0evy3V/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/340167407_628792539127251_149648040789306345_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=v71DzqJFDS8AX8O5lFq&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBa6rvkInWPb8yPjN23cOH-NHKYVAcaNxtMmHPMqSXjnQ&oe=648756CF,,"Honrado , louvado e glorificado , nosso Jesus para todo o sempre ! Que assim seja eternamente honrado por nós 🙏🏻🌷🙌🏻💕 (Hb 3,1) ""fixai bem a mente em Jesus"" . Sendo chamado , não endureçais vosso coração . (Hb 9,27-28) ""E como está determinado que os homens morram uma só vez, e depois vem o julgamento, 28.assim também Cristo, oferecido uma vez por todas para tirar os pecados da multidão, aparecerá uma segunda vez, não mais em relação ao pecado, mas para salvar aqueles que o esperam. "" Creia, confie , ame-o ! 🌷🙌🏻",,,,1.03,"Honored, praised and glorified, our Jesus forever and ever!May this be eternally honored by us 🙏🏻🌷🙌🏻💕 (Heb 3,1) ""fix the mind well in Jesus.""Being called, do not harden your heart.(Heb 9,27-28) ""And as it is determined that men die once, and then the judgment comes, 28. Also Christ, offered once and for all to get the sins out of the crowd, will appear a second time,No more about sin, but to save those who expect it. ""Believe, trust, love it!🌷🙌🏻",0.9726,Nan,0.0
5,Jair M. Bolsonaro,jairmessiasbolsonaro,25319738.0,2023-04-09 14:52:39 EDT,2023-04-09,14:52:39,Photo,"74,676",73196,1480,0,False,https://www.instagram.com/p/Cq033GaPtyK/,https://www.instagram.com/p/Cq033GaPtyK/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/340011986_957831208710071_6560422489214827566_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=f9C1TOVcup0AX8f_4Gh&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCIevvYruwUW0u0CHf3eKkn3I_XjJ0js0e-0HWQm_Y1ug&oe=6488A97D,,"- Geração de empregos, alimentos para todo o mundo e desenvolvimento.

- Além disso, o aumento brasileiro foi melhor que dos Estados Unidos (+18%), Canadá (+18%) Reino Unido (+13%), Alemanha (+1%) e o Japão (que registrou queda de 1%). À frente do Brasil, apenas: Noruega (+56%), Arábia Saudita (+49%), Emirados Árabes (+41%), Indonésia (+26%) e Austrália (+20%).

- Dos US$ 334 bilhões que o Brasil faturou com exportações em 2022, cerca de US$ 160 bilhões vieram do agronegócio. Ou seja: o setor responde por quase metade do faturamento do país com o mercado externo.

- Fonte: https://revistaoeste.com/economia/exportacoes-brasileiras-cresceram-acima-media-global-em-2022/",REVISTA OESTE ECONOMIA Exportações brasileiras cresceram acima da média global em 2022 Expansão da receita brasileira com vendas ao mercado externo foi maior do faturamento chinês com aumento as setor o o,,,-6.01,"- job creation, foods around the world and development.

- In addition, the Brazilian increase was better than the United States (+18%), Canada (+18%) United Kingdom (+13%), Germany (+1%) and Japan (which registered a drop of 1%).Ahead of Brazil, only: Norway (+56%), Saudi Arabia (+49%), United Arab Emirates (+41%), Indonesia (+26%) and Australia (+20%).

- Of the US $ 334 billion that Brazil won with exports by 2022, about US $ 160 billion came from agribusiness.That is: the sector is responsible for almost half of the country's revenues with the foreign market.

-Source: https://revistaoeste.com/economia/exportacoes-brasileiras-cresceram-a-himadia-global-em-2022/",0.9559,West Economy Magazine Brazilian Exports grew above the global average in 2022 expansion of Brazilian revenue with sales to the foreign market was higher of Chinese revenues with increased sector o,0.2732
6,Magno Malta,magnomalta,1689266.0,2023-04-09 13:59:52 EDT,2023-04-09,13:59:52,Album,"9,376",8988,388,0,False,https://www.instagram.com/p/Cq0dPsjJ8M8/,https://www.instagram.com/p/Cq0dPsjJ8M8/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/340155124_1016238592629924_153174310688382981_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=rcweB70gqSoAX8jhbf7&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfACZe_3g92pHbQoXTfabTSVgibP2IE8XDHDhCy681VPaQ&oe=645B4BA7,,"Estamos no ABRIL VERMELHO e muitos ruralistas brasileiros estão preocupados com as investidas do Movimento dos Trabalhadores Rurais Sem Terra (MST). Infelizmente, este movimento que não é social, mas criminoso, voltou com toda força no governo petista. 
Alô, Governo Federal! Cadê a defesa do nosso agronegócio?

O que é ""Abril Vermelho""?

Abril se transformou em um período de tradição do MST no que tange invadir terras, pois este mês marca a data do massacre de Eldorado dos Carajás (PA), conflito ocorrido em 17 de abril de 1996, quando 19 sem-terra foram mortos no confronto com a polícia.",,,,1.96,"We are in the Red April and many Brazilian ruralists are concerned about the onslaught of the Landless Rural Workers Movement (MST).Unfortunately, this movement that is not social but criminal has returned with full force in the petista government.
Hello, federal government!Where's the defense of our agribusiness?

What is ""Red April""?

April became a period of tradition of the MST with regard to invading land, as this month marks the date of the Eldorado dos Carajás (PA) massacre, conflict that occurred on April 17, 1996, when 19 landbreaking were killed in the confrontationwith the police.",-0.7534,Nan,0.0
7,Eduardo Bolsonaro🇧🇷,bolsonarosp,5126978.0,2023-04-09 13:44:51 EDT,2023-04-09,13:44:51,Album,"211,065",206199,4866,0,False,https://www.instagram.com/p/Cq0wGgSrhYS/,https://www.instagram.com/p/Cq0wGgSrhYS/,https://scontent-fco2-1.cdninstagram.com/v/t51.29350-15/340314033_758065422702928_869555730850420595_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=5vYCEAsA2mkAX-td8L7&_nc_ht=scontent-fco2-1.cdninstagram.com&oh=00_AfD9ASmclXl_CLufW8m6JUaQG6Qx8onI_dFDzH50RoTCJQ&oe=6469305C,,"Páscoa é VIDA, e porque Ele vive, posso crer no amanhã. Porque Ele vive, temor não há. 
Assim escolhemos o ovo de Páscoa para anunciar a chegada de mais um Bolsonarinho em nossa família. Já muito amado por todos nós! 💙",,,,4.88,"Easter is life, and because he lives, I can believe in tomorrow.Because he lives, fear there is no.
So we chose the Easter egg to announce the arrival of another Bolsonarinho in our family.Already loved by all of us!💙",0.7345,Nan,0.0
8,Bárbara Destefani | Te Atualizei,barbarapessoaloficial,184561.0,2023-04-09 12:35:26 EDT,2023-04-09,12:35:26,Photo,"3,364",3302,62,0,False,https://www.instagram.com/p/Cq0oKJNLnqf/,https://www.instagram.com/p/Cq0oKJNLnqf/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/340285180_3630240357228636_5918990369367748965_n.webp?stp=dst-jpg&_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=yceIuLSFaXwAX9XXjO8&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBKzdK5aP2H30s8G7r2yOjHLtNyP5byNZeUO5baF0VSZA&oe=645A4549,,Feliz Páscoa! ❤️,"Momento de renovação da vida e com ela, a esperança de um mundo melhor. Orscoa! ATALZEI!",,,-6.98,Happy Easter!❤️,0.6114,"Moment of renewal of life and with it, the hope of a better world.Orscoa!Atalzei!",0.7494
9,Oscar Magrini,oscarmagrini,511765.0,2023-04-09 10:31:17 EDT,2023-04-09,10:31:17,Photo,424,387,37,0,False,https://www.instagram.com/p/Cq0Z8y0LLYL/,https://www.instagram.com/p/Cq0Z8y0LLYL/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/340009913_894005031678137_416466902447583321_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=JuXuggJc1m8AX9HsZLT&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDHkeAti91CINwm7JcGvnsC3q7Q6F1DaabHWnWpqhaXcA&oe=6496A189,,"Porque Ele vive e morreu naquela cruz por nós,seu sangue 🩸 limpou os nossos pecados…Obrigado Senhor Jesus , 🙏🏼🙏🏼🙏🏼
o Único Senhor e Salvador da minha vida… a
Ele toda Honra e toda Glória para sempre!!❤️❤️❤️🥰🥰🙏🏼","Obrigado Jesus! Feliz Domingo de Páscoa! 1 alxa de Mensa agensEdificantes Disse Jesus: ""...Eu sou a ressurreição e a vida; quem crê em mim, ainda que esteja morto viverá...""",,,-3.77,"Because he lives and died on that cross for us, his blood 🩸 wiped our sins… Thank you Lord Jesus, 🙏🏼🙏outh
The only lord and savior of my life…
He all honor and glory forever !! ❤️❤️❤️🥰🥰🙏🏼",0.9674,"Thank you Jesus!Happy Easter Sunday!1 Table Handle Augeries said Jesus, ""... I am the resurrection and life; whoever believes in me, even though he is dead he will live ...""",-0.5242
