,Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Comments 1x ),Description_Translated,Description_Sentiment,Image_Text_Translated,Image_Text_Sentiment
0,Flávio Bolsonaro,flaviobolsonaro,4403314.0,2023-01-08 20:40:54 EST,2023-01-08,20:40:54,Photo,"101,266",97622,3644,0,False,https://www.instagram.com/p/CnLSPj_OD-W/,https://www.instagram.com/p/CnLSPj_OD-W/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324384629_721161412869767_6222394671976662189_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ylR7lap_siAAX81ugKM&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBP2GeHkYxhnRAoi3GLhz1U6SZoVEDby8q5bvw22O8t9w&oe=63DE8711,,,,,,1.2,Nan,0.0,Nan,0.0
1,Bolsonaro TV,bolsonaro.tv,1015777.0,2023-01-08 19:28:17 EST,2023-01-08,19:28:17,Photo,"65,941",62669,3272,0,False,https://www.instagram.com/p/CnLJ7q4tuaJ/,https://www.instagram.com/p/CnLJ7q4tuaJ/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324700210_709877413859466_8468944815857150627_n.webp?stp=dst-jpg&_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=oU8EC4dUDnQAX_fSbi7&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDIz831OiVrvQZetK_Cm8R5YS_OH1mqBaXnU19bA8Nu2g&oe=643AE606,,,,,,1.12,Nan,0.0,Nan,0.0
2,Jair M. Bolsonaro,jairmessiasbolsonaro,25559864.0,2023-01-08 19:22:44 EST,2023-01-08,19:22:44,Photo,"2,701,627",2538386,163241,0,False,https://www.instagram.com/p/CnLJTBIrSbw/,https://www.instagram.com/p/CnLJTBIrSbw/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323920091_863475618326468_5066527604527234669_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=LI2XQ_ju8lEAX_hEWLr&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCm4lUhyudkRvnaozw3s7H3LfIEYxZj0y1pDRmCvwLm5w&oe=6496A2CE,,,,,,2.81,Nan,0.0,Nan,0.0
3,Silvia Nobre Waiãpi,silviawaiapi,140364.0,2023-01-08 17:43:19 EST,2023-01-08,17:43:19,Photo,"6,869",6133,736,0,False,https://www.instagram.com/p/CnK965tt-3g/,https://www.instagram.com/p/CnK965tt-3g/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323917556_2526676230814342_4044930933439843926_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=K4H1SjuY18MAX8qEZfg&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBcfjg8DDVKNUFwg9w0mxjOcDpOlD53bBUs0tphgDOSqg&oe=640CB002,,O QUE ESTÁ ACONTECENDO COM O BRASIL?,BREAKING NEWS @CNNBrasil vsuaRzagpes AGORA: MANIFESTANTES INVADEM CONGRESSO NACIONAL Japonesa Naomi Osaka desiste do Aberto de Tênis da Austrália VIVO CNN BRASIL 5:36 CNN CNN360° 360° UAS @CANBrasil BREAKING NEWS AGORA: RADICAIS INVADEM o PLENARIO DO STF Criminosos tomam as sedes dos Três Poderes youtube.com/CNNBrasil νινο BRASIL 16:03 CNN 360° BREAKING NEWS AGORA: CRIMINOSOS TOMAM AS SEDES DOS TRES PODERES Radicais invadem o plenário do STF @CAWBrasil youtube.com/CNNBrasil ινο CNN BRASIL 16:12 CNN 360°,,,1.13,What is happening to Brazil?,0.0,Breaking News @CNNBRASIL VSUARZAGPES Now: Protesters invade Japanese National Congress Naomi Osaka gives up the Australia Live Tennis Open CNN Brazil 5:36 CNN CNN360 ° 360 ° UAS @canbrasil Breaking News Now: Radicals invade the STF Criminals.Three Powers Youtube.com/CNNBRASIL νινο Brasil 16:03 CNN 360 ° Breaking News Now: criminals take the headquarters of the radical powers invade the Plenary of the STF @cawbrasil youtube.com/cnnbrasil ινο cn Brazil 16:12 CNN 360 °,-0.6808
4,Adrilles Jorge,adrillesjorge,868459.0,2023-01-08 15:45:12 EST,2023-01-08,15:45:12,Photo,"48,126",45061,3065,0,False,https://www.instagram.com/p/CnKwZ1tpwhE/,https://www.instagram.com/p/CnKwZ1tpwhE/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324069264_147631534753862_5259963427827065597_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=cggnszwmISYAX-uYjmn&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfD0YSuBpzY_SYD2zB6935_bNWnkYwPx_UDVfQ3fn_bObA&oe=640FC00B,,,"Adrilles Jorge @AdrillesRJorge Não se justifica a agressão, a invasão, a destruição. Não se justifica a destruição do estado democrático de direito, seja por por uma pessoa, um grupo mas SOBRETUDO por uma autoridade. O de hoje é fruto da opressão e falta de diálogo Mais opressão só fará piorar tudo",,,1.54,Nan,0.0,"Adrilles Jorge @adrillesrjorge is not justified aggression, invasion, destruction.The destruction of the democratic rule of law is not justified, either by a person, a group but above all by an authority.Today is the result of oppression and lack of dialogue more oppression will only make everything worse",-0.8824
5,Flávio Bolsonaro,flaviobolsonaro,4403314.0,2023-01-08 12:06:09 EST,2023-01-08,12:06:09,Album,"28,616",27962,654,0,False,https://www.instagram.com/p/CnKXVY-ObuC/,https://www.instagram.com/p/CnKXVY-ObuC/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324244721_511901167701218_6083916125442257689_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=9D4TgSuvuvQAX-xZmVy&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDC2CEkfitKPmUMZTgd7kpy_V-L-b_y-hNKZdU-9iuNVg&oe=63DF53F8,,#bolsonaro #governobolsonaro #legadobolsonaro #bolsomito #flaviobolsonaro,,,,1.18,#Bolsonaro #governobolsonaro #legadobolsonaro #bolsomito #flaviobolsonaro,0.0,Nan,0.0
6,Eduardo Bolsonaro🇧🇷,bolsonarosp,5009161.0,2023-01-08 11:59:43 EST,2023-01-08,11:59:43,Photo,"117,569",109394,8175,0,False,https://www.instagram.com/p/CnKWmRgrAQX/,https://www.instagram.com/p/CnKWmRgrAQX/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324554701_1580358785719170_7164209744256622593_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=6S47wz7pCwIAX_urey5&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfB0fQ_njpiBqGpUJN5JRI7Qnl5OpZSWAU9BZwDa6ZASOw&oe=648903BA,,Afinal de contas o que mais precisamos para sobreviver não é alimento e sim dinheiro no bolso da Máfia do Dendê.,"QUAIS AS PRIORIDADES DE LULA? AGRO TERÁ APENAS R$ 1,5 BILHÕES? VEJA! dejaneira de 2023 Compre CompreRura POSTN W.Te.COMTBIPORITN. Ministério da Cultura terá ""orçamento histórico"", diz Margareth PODER360 27.dez.2022 (terça-feira) Orçamento do Ministério da Agricultura vai 'encolher' 14% em 2023 CANA RURAL 0 26DEDEZEMBRO 2022 2023, pasta deve acumular mais de R$ 10 bilhőes portir do orçamento anual e das leis Paulo Gustavo da Condecine R$ 10 bi para cultura",,,1.12,"After all, what we need most to survive is not food but money in the pocket of the dendê mafia.",0.0,"What are the priorities of Lula?Agro will only R $ 1.5 billion?LOOK!Dejaneira 2023 Buy Postn W.te.comtbiporitn.Ministry of Culture will have ""historical budget,"" says Margareth Power360 27.Dens.2022 (Tuesday) Ministry of Agriculture Budget will 'shrink' 14% in 2023 rural sugarcane 0 26 DenioMenio Ebb 2022 2023, folder should accumulate more than $ 10Bilhőes Portir of the Annual Budget and Laws Paulo Gustavo da Condecine R $ 10 Bi for Culture",0.0
7,Flávio Bolsonaro,flaviobolsonaro,4403314.0,2023-01-08 10:39:19 EST,2023-01-08,10:39:19,Photo,"15,843",15513,330,0,False,https://www.instagram.com/p/CnKNZf7uqm3/,https://www.instagram.com/p/CnKNZf7uqm3/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324072349_701432734701826_4377566481556048563_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=sA6Rl6C6p3sAX_Af2Sp&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfA2RVgT1-tr3gVR6518q2QKneRCGRgd9iZkn9dYPN082Q&oe=63DE4EFC,,"É com profunda tristeza que recebo a notícia do falecimento de Roberto Dinamite, o maior ídolo da história do Vasco. #MaiorDeTodos 

O seu legado será eterno, meu amigo! Obrigado por tudo! Que Deus o receba e conforte o coração de familiares, amigos e fãs! #VascoDaGama",,,,-5.33,"It is with deep sadness that I receive the news of the death of Roberto Dinamite, the greatest idol in Vasco's history.#MaiordeTodos

Your legacy will be eternal, my friend!Thank you for everything!May God receive you and comfort the heart of family, friends and fans!#Vasco da Gama",0.88,Nan,0.0
8,Flávio Bolsonaro,flaviobolsonaro,4403314.0,2023-01-08 10:38:26 EST,2023-01-08,10:38:26,Photo,"51,321",50176,1145,0,False,https://www.instagram.com/p/CnKNS-MOZpG/,https://www.instagram.com/p/CnKNS-MOZpG/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324262641_724805782274208_6312803796112213632_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=POj7V-gZangAX-UO-kj&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBCSlM_4GCkMRbHJHzRvgBBAh3iVWSAQY8zhdWcoqD0Zw&oe=63DEE4C9,,"Descance em paz, meu amigo Roberto Dinamite!
Ídolo da minha geração de vascaínos, com quem tive a honra de ter sido deputado estadual na mesma legislatura.
Que Deus o tenha e conforte toda a família!
@rdinamite10 #Vasco ##vascodagama",,,,-1.65,"Descend in peace, my friend Roberto Dinamite!
Idol of my generation of Vascaios, with whom I had the honor of being a state deputy in the same legislature.
May God have and comfort the whole family!
@rdinamite10 #vasco ## vascodagama",0.9335,Nan,0.0
9,Carlos Bolsonaro 🇧🇷,carlosbolsonaro,3042555.0,2023-01-08 10:03:03 EST,2023-01-08,10:03:03,Photo,"79,196",76394,2802,0,False,https://www.instagram.com/p/CnKJPyQg2b2/,https://www.instagram.com/p/CnKJPyQg2b2/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324395002_141411138721505_3765649514456455309_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=h9PRFuRBZVoAX9AJvuN&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfB4QnY5Ie_g1qpFuM3hrPNMSu8LecWpgb84lhJ3Itn9Jg&oe=63F72465,,,"22 Carlos Bolsonaro 2 @CarlosBolsonaro 2 Depois da corrupção que não faz mal, das milícias digitais organizadas permitidas, das fakenews do bem, do eterno silêncio seletivo dos arautos, das depredações democráticas dos bens públicos e privados, agora surgem as milícias do amor... é tudo pela democracia! 08/01/2023 Twitter for iPhone",,,1.14,Nan,0.0,"22 Carlos Bolsonaro 2 @carlosbolsonaro 2 After corruption that is not harmful, the permitted organized digital militias, the fakenews of good, the eternal selective silence of heralds, the democratic depredations of public and private goods, now the militias of love now appear.. It's all for democracy!08/01/2023 Twitter for iPhone",0.8122
